name,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
STL,0.49,0.48,0.48,234629,1762.57,150.33,116.96,438.37,58.51,939.99,688.98,143.66,151.25,144.53,1588,807,933,3328,146,199,15,325,3,851,871,1442,2249,229,542,1599,1673,281,1002,1787,472,136,54.34,58.23,37.75,67,66,13,3330.52,2395,2405.49,469,24.28,37.06,37.06,137.41,138.3,135.52,1898.23,155.15,123.95,482.52,63.66,1014.93,750.87,148.93,156.07,149.9,1690,902,992,3584,162,191,23,404,4,944,887,1528,2430,229,533,1690,1350,309,1098,2000,434,158,57.04,54.41,43.69,76,54,32,3613.23,2592,2604.7,521,25.83,39.71,39.79,141.12,142.26,139.61
LAK,0.52,0.52,0.52,235805,1992.33,156.55,131.9,503.9,67.26,1076.15,800.25,151.08,155.87,150.47,1708,1028,1175,3911,143,214,14,402,4,988,985,1565,2593,227,503,1718,1473,296,1076,2128,471,137,61.63,57.2,37.72,66,58,19,3894.03,2736,2727.72,500,27.46,39.84,39.84,144.17,143.89,141.66,1831.7,145.61,121.24,460.73,62.07,985.3,737.03,140.83,147.05,142.21,1611,901,1063,3575,135,193,14,370,3,906,905,1476,2377,220,488,1709,1452,294,983,1936,463,113,57.58,57.37,30.66,72,49,14,3605.79,2512,2533.45,429,25.23,35.58,35.61,135.23,136.7,134.54
PHI,0.51,0.48,0.49,235361,1720.95,148.41,116.08,428.24,58.17,915.51,676.59,142.88,148.68,143.16,1517,826,878,3221,152,173,15,350,5,818,845,1365,2191,261,596,1641,1717,280,1028,1749,461,133,54.27,56.89,37.26,67,61,24,3216.87,2343,2340.37,499,24.21,34.98,35.4,137.21,137.55,135.38,1784.52,144.26,114.26,450.71,60.16,960.04,713.65,139.39,145.14,140.25,1505,939,1036,3480,145,174,15,299,2,894,930,1360,2299,250,576,1658,1562,277,999,1903,397,144,56.17,47.69,40.39,74,55,16,3497.46,2444,2458.11,471,23.77,34.57,34.57,133.39,134.17,132.08
MIN,0.51,0.48,0.49,238239,1992.11,167.68,134.61,489.36,66.53,1068.33,796.48,160.51,169.9,162.59,1788,935,984,3707,162,226,16,354,1,993,987,1626,2561,221,502,1640,1613,309,1032,2039,511,173,58.38,61.49,47.8,80,61,21,3770.6,2723,2764.93,469,28.03,43.36,43.7,152.01,153.86,150.91,2062.66,159.14,136.91,521.14,69.49,1132.62,830.71,152.81,157.99,151.77,1842,1008,1144,3994,151,202,17,435,5,999,1058,1691,2699,251,569,1912,1372,290,1060,2272,451,127,66,57.39,35.75,70,60,21,3959.8,2850,2824.02,527,28.48,37.26,37.26,150.35,149.51,146.56
FLA,0.49,0.52,0.51,227211,1916.37,156.24,125.22,488.81,64.84,1024.77,752.11,150.49,156.29,150.55,1622,990,999,3611,148,209,25,387,6,925,937,1474,2464,296,657,1608,1834,263,964,2005,465,142,60.06,57.72,38.46,66,56,26,3593.87,2612,2607.9,477,26.08,37.82,37.87,144.45,144.51,141.9,1852.96,160.9,121.58,468.92,63.36,975.98,731.26,153.44,162.17,154.59,1640,882,846,3368,177,212,28,343,5,834,951,1463,2345,297,672,1802,1468,320,1020,1883,470,169,54.61,58.78,47.51,78,70,29,3398.52,2522,2538.56,515,25.41,43.41,43.9,142.41,143.51,140.55
ANA,0.52,0.52,0.52,231679,2150.95,179.45,140.24,548.48,74.37,1150.55,849.04,171.83,177.88,170.41,1854,1090,1088,4032,165,252,25,431,4,1024,1068,1689,2779,262,605,1695,1567,322,1050,2249,534,161,66.64,66.64,46.16,74,64,27,3989.52,2944,2916.4,486,29.25,47.99,48.05,160.58,159.52,156.64,1982.08,168.05,130.8,497.73,66.94,1049.98,776.49,160.3,170.32,162.46,1721,969,1016,3706,184,211,19,394,8,973,920,1537,2506,274,624,1800,1404,294,1150,2003,548,139,63.39,67.06,37.59,84,80,20,3763.54,2690,2728.07,560,27.36,38.45,39.06,156.34,158.42,154.89
WSH,0.5,0.49,0.5,230770,1937.2,167.79,124.13,485.15,66.41,1023.38,773.15,161.3,168.57,162,1685,955,992,3632,172,211,30,338,3,882,1034,1513,2468,260,586,1561,1458,293,1047,1968,517,155,61.48,63.27,43.05,78,70,24,3646.54,2640,2651.45,495,25.88,42.22,42.22,151.45,151.99,149.14,1930.53,168.82,124.7,482.12,65.36,1015.31,759.74,162.75,169.45,163.33,1691,926,1107,3724,143,204,18,372,3,948,947,1548,2474,252,568,1664,1402,291,1071,1932,515,170,59.39,63.28,46.15,55,59,29,3722.58,2617,2616.08,523,26,38.51,39,155.76,156.37,153.83
CGY,0.47,0.5,0.49,230386,1911.53,152.51,123.71,489.08,64.91,1015.86,758.99,147.27,152.44,147.2,1753,853,1089,3695,137,186,15,361,3,911,1008,1616,2469,237,545,1696,1524,286,1145,2024,434,148,57.36,54.62,40.55,70,46,21,3675.81,2606,2603.64,590,25.8,36.7,36.79,141.47,141.36,139.34,1973.81,169.16,130.64,496.13,67.13,1044.56,788.38,162.26,170.39,163.43,1780,916,1072,3768,169,231,21,425,7,896,968,1611,2527,247,569,1758,1482,341,1095,2029,488,179,60.79,59.79,48.58,76,63,30,3805.15,2696,2708.97,497,27.36,43.93,43.98,152.53,153.73,150.77
WPG,0.48,0.49,0.49,234322,1806.93,150.43,121.58,454.86,61.83,981.47,729.84,143.85,151.12,144.64,1592,908,930,3430,152,190,24,411,5,878,864,1440,2348,218,491,1690,1625,271,986,1941,415,144,57.29,52.42,40.72,70,57,25,3450.03,2500,2514.4,490,25.36,38.94,39.36,136.41,137.22,134.97,1916.22,161.92,129.48,482.42,65.33,1030.53,759.38,155.49,162.05,155.62,1717,913,966,3596,156,225,21,373,2,971,903,1561,2474,214,481,1567,1416,295,997,1997,452,181,58.97,55.31,47.64,74,60,22,3587.15,2630,2623.89,474,26.93,41.96,42,146.78,146.92,143.96
OTT,0.56,0.53,0.54,230235,1989.8,171.63,132.85,498,65.44,1054.77,772.31,165.26,173.51,167.04,1745,950,993,3688,177,206,22,352,3,980,977,1568,2518,256,579,1799,1774,326,963,2020,506,169,59.43,63.71,48.49,86,63,28,3728.16,2695,2722.79,481,27.72,43.56,44.45,154.9,156.33,153.44,1687.25,135.25,110.7,427.88,57.03,909.84,674.3,129.72,134.8,129.32,1479,836,960,3275,161,182,22,330,2,850,790,1318,2154,280,639,1577,1736,272,1058,1799,398,118,51.92,48.82,34.51,71,67,23,3253.79,2315,2299.88,571,22.99,36.18,36.48,121.75,121.48,119.29
NYI,0.47,0.49,0.49,233638,1902.13,158.9,124.1,491.16,66.39,1019.92,744.53,152.66,158.65,152.43,1682,923,972,3577,145,229,22,390,5,916,920,1537,2460,211,459,1724,1484,291,991,1996,461,148,59.25,56.65,43,75,46,24,3568.98,2605,2598.25,499,25.8,45.29,45.57,139.13,138.85,136.27,1993.95,175.91,134.54,496.39,66.86,1053.39,779.91,168.3,176.8,169.14,1719,988,1054,3761,154,245,13,332,3,995,978,1565,2553,230,502,1614,1515,301,1054,1987,537,183,61.07,66.21,48.62,70,67,17,3782.46,2707,2722.01,477,28.06,45.38,45.46,158.5,159.28,155.92
COL,0.57,0.57,0.56,229328,2254.72,192.79,147.65,579.32,76.11,1223.33,892.79,184.84,196.57,188.47,2087,1025,1279,4391,210,247,31,452,1,1183,1019,1877,2902,221,469,1798,1221,290,1051,2386,528,198,72.73,66.62,53.43,119,57,34,4510.69,3112,3178.62,463,30.82,50.7,50.7,172.91,176.17,172.31,1807.12,148.05,117.99,459.23,60.82,958.17,711.8,141.73,145.95,139.72,1561,896,895,3352,125,217,14,375,3,839,898,1436,2332,247,525,1738,1531,292,1070,1870,445,142,51.67,57.38,39,57,50,18,3271.06,2457,2413.14,551,24.56,40.1,40.36,132.19,130.41,128.25
NSH,0.49,0.5,0.49,232586,1909.37,161.45,129.22,482.57,64.62,1019.06,748.09,155.2,160.96,154.79,1674,931,1068,3673,146,225,22,400,6,935,893,1528,2459,260,569,1776,1447,336,1045,1986,450,169,58.03,56.75,46.67,64,56,26,3636.96,2605,2583.76,527,26.96,43.54,43.54,144.87,144.65,141.92,2016.77,166.61,132.39,503.68,67.54,1085.03,796.74,160.79,168.59,162.66,1827,925,875,3627,175,192,30,409,2,997,977,1652,2577,252,561,1777,1512,276,1071,2121,477,154,63.17,58.85,44.59,75,72,28,3673.32,2752,2783.41,505,27.55,41.59,41.65,152.51,154.06,151.52
CHI,0.42,0.46,0.45,236446,1759.47,140.82,113.95,443.09,58.92,942.35,698.87,136.15,141.26,136.56,1529,869,841,3239,143,186,19,347,8,823,891,1386,2255,235,512,1547,1233,329,1098,1847,407,144,52.85,49.2,38.78,51,65,27,3226.02,2398,2393.23,550,23.64,32.72,33.24,131.23,131.55,129.44,2147.8,190.77,145.89,533.04,72.38,1143.62,840.3,182.04,191.51,182.82,1915,1011,941,3867,188,244,25,404,4,1033,1053,1727,2738,227,504,1790,1688,301,1023,2177,560,189,66.16,69.55,55.06,87,76,25,3903.42,2926,2939.76,450,30.49,53.5,54.02,167.24,168.06,165.11
TBL,0.54,0.53,0.53,228888,1949.01,169.39,129.21,487.55,65.33,1036.59,773.94,161.3,171.27,163.03,1691,971,1044,3706,188,234,24,368,3,988,881,1503,2474,341,834,1599,1491,254,980,1978,521,163,60.34,63.89,45.15,78,85,25,3754.34,2662,2686.18,425,26.99,45.82,45.82,150.55,152.2,148.4,1761.99,145.12,112.89,450.01,59.78,935.59,697.62,139.55,145.32,139.73,1596,805,828,3229,145,188,17,351,2,814,901,1451,2256,331,790,1715,1664,320,999,1841,435,125,55.98,52.9,36.25,74,50,21,3209.01,2401,2398.26,508,23.49,36.55,36.55,132.06,132.31,129.94
