player_id,player_display_name,week,season_type,team,opponent_team,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_fumbles_forced,def_sacks,def_qb_hits,def_interceptions,def_pass_defended,def_tds,def_fumbles,def_safeties
00-0037262,Thomas Booker,9,REG,LV,JAX,0,0,1,0,0,0,0,0,0,0,0,0
00-0037269,Eric Johnson,9,REG,IND,PIT,0,0,1,0,0,0,0,0,0,0,0,0
00-0037271,D'Marco Jackson,9,REG,CHI,CIN,1,0,2,0,0,0,0,0,0,0,0,0
00-0037275,DaRon Bland,9,REG,DAL,ARI,6,0,8,0,0,0,0,0,1,0,0,0
00-0037280,Matthew Butler,9,REG,MIA,BAL,0,1,1,0,0,0,1,0,0,0,0,0
00-0037288,Christian Benford,9,REG,BUF,KC,2,0,1,1,0,1,1,0,0,0,0,0
00-0037298,Sam Roberts,9,REG,ATL,NE,2,0,2,0,0,0,0,0,0,0,0,0
00-0037301,Theo Jackson,9,REG,MIN,DET,0,0,2,0,0,0,0,0,0,0,0,0
00-0037310,James Houston,9,REG,DAL,ARI,1,0,1,0,0,0,0,0,0,0,0,0
00-0037313,Montaric Brown,9,REG,JAX,LV,4,0,1,0,0,0,0,1,1,0,0,0
00-0037323,Rodney Thomas,9,REG,IND,PIT,0,0,0,0,0,0,0,0,0,0,0,0
00-0037332,D'Anthony Bell,9,REG,SEA,WAS,0,0,2,0,0,0,0,0,0,0,0,0
00-0037364,Arron Mosby,9,REG,GB,CAR,1,0,0,0,0,0,0,0,0,0,0,0
00-0037384,Ja'Quan McMillian,9,REG,DEN,HOU,2,0,0,0,0,0,0,0,1,0,0,0
00-0037457,Jake Hansen,9,REG,HOU,DEN,2,0,1,0,0,0,0,0,0,0,0,0
00-0037461,Tristin McCollum,9,REG,LV,JAX,2,0,1,1,0,0,0,0,1,0,0,0
00-0037512,Isaiah Pola-Mao,9,REG,LV,JAX,6,1,2,0,0,0,0,1,2,0,0,0
00-0037527,Segun Olubi,9,REG,IND,PIT,1,0,0,0,0,0,0,0,0,0,0,0
00-0037549,Darrell Baker Jr.,9,REG,TEN,LAC,2,0,2,0,0,0,0,0,1,0,0,0
00-0037561,Markquese Bell,9,REG,DAL,ARI,2,1,5,0,0,0,0,0,0,0,0,0
00-0037578,Juanyeh Thomas,9,REG,DAL,ARI,4,0,0,0,0,0,0,0,0,0,0,0
00-0037587,Nate Landman,9,REG,LA,NO,0,0,5,0,1,0,0,0,0,0,0,0
00-0037596,Jack Gibbens,9,REG,NE,ATL,0,0,1,0,0,0,0,0,1,0,0,0
00-0037602,Sam Okuayinonu,9,REG,SF,NYG,3,0,1,1,0,1,1,0,0,0,0,0
00-0037611,Kayvon Thibodeaux,9,REG,NYG,SF,0,0,1,0,0,0,0,0,0,0,0,0
00-0037616,Nick Cross,9,REG,IND,PIT,3,0,3,0,0,0,0,0,0,0,0,0
00-0037633,Jacob Hummel,9,REG,BAL,MIA,1,0,0,0,0,0,0,0,0,0,0,0
00-0037661,Ja'Marcus Ingram,9,REG,BUF,KC,1,0,1,0,0,0,0,0,0,0,0,0
00-0037665,Sam Williams,9,REG,DAL,ARI,0,0,0,0,0,0,0,0,0,0,0,0
00-0037743,Daxton Hill,9,REG,CIN,CHI,4,0,3,0,0,0,0,0,0,0,0,0
00-0037752,Tycen Anderson,9,REG,CIN,CHI,1,0,1,0,0,0,0,0,0,0,0,0
00-0037753,Cam Taylor-Britt,9,REG,CIN,CHI,0,0,2,0,0,0,0,0,1,0,0,0
00-0037756,Travis Jones,9,REG,BAL,MIA,2,0,3,1,0,0.5,1,0,0,0,0,0
00-0037799,Dondrea Tillman,9,REG,DEN,HOU,1,0,3,0,0,0.5,1,0,0,0,0,0
00-0037808,DeAngelo Malone,9,REG,ATL,NE,1,0,0,0,0,0,0,0,0,0,0,0
00-0037819,Leo Chenal,9,REG,KC,BUF,3,0,3,1,0,1,1,0,0,0,0,0
00-0037832,Kalia Davis,9,REG,SF,NYG,1,0,2,0,0,0,0,0,0,0,0,0
00-0037839,Cobie Durant,9,REG,LA,NO,1,0,0,0,0,0,0,0,0,0,0,0
00-0037841,Quentin Lake,9,REG,LA,NO,2,0,0,0,0,0,0,0,1,0,0,0
00-0037843,Daniel Hardy,9,REG,CHI,CIN,0,0,1,0,0,0,1,0,0,0,0,0
00-0038038,Kyle Hamilton,9,REG,BAL,MIA,3,0,3,1,0,0,0,0,0,0,0,0
00-0038039,Jack Jones,9,REG,MIA,BAL,1,0,0,0,0,0,0,0,0,0,0,0
00-0038099,Phidarian Mathis,9,REG,BUF,KC,0,0,1,0,0,0,0,0,0,0,0,0
00-0038101,Akayleb Evans,9,REG,CAR,GB,0,0,1,0,0,0,0,0,0,0,0,0
00-0038106,Eyioma Uwazurike,9,REG,DEN,HOU,0,0,1,0,0,0,0,0,0,0,0,0
00-0038116,Arnold Ebiketie,9,REG,ATL,NE,2,0,1,1,0,0,0,0,0,0,0,0
00-0038119,Jalyn Armour-Davis,9,REG,TEN,LAC,2,0,2,0,0,0,0,0,0,0,0,0
00-0038121,Alontae Taylor,9,REG,NO,LA,5,0,3,1,0,0,0,0,0,0,0,0
00-0038123,Dane Belton,9,REG,NYG,SF,4,0,11,0,0,0,0,0,0,0,0,0
00-0038133,Boye Mafe,9,REG,SEA,WAS,1,0,3,0,0,0,0,0,0,0,0,0
00-0038135,Jaquan Brisker,9,REG,CHI,CIN,2,0,4,0,0,0,0,0,0,0,0,0
00-0038136,Coby Bryant,9,REG,SEA,WAS,0,0,4,0,0,0,0,0,0,0,0,0
00-0038142,David Ojabo,9,REG,BAL,MIA,0,0,1,0,0,0.5,1,0,0,0,0,0
00-0038390,Noah Sewell,9,REG,CHI,CIN,2,0,0,0,0,0,0,0,0,0,0,0
